# Text2SQL训练和评估示例对

# 简单查询
查询所有用户信息	SELECT * FROM users;
查询既有评论又有购物车记录的用户	SELECT user_id FROM reviews UNION SELECT user_id FROM cart_items;

# 业务相关复杂查询
查询每个用户的订单总金额	SELECT u.user_id, u.username, SUM(o.total_amount) AS total_spent FROM users u LEFT JOIN orders o ON u.user_id = o.user_id GROUP BY u.user_id, u.username;
显示每个产品的销售数量	SELECT p.product_id, p.product_name, SUM(oi.quantity) AS total_sold FROM products p LEFT JOIN order_items oi ON p.product_id = oi.product_id GROUP BY p.product_id, p.product_name;
查询每个月的订单统计	SELECT YEAR(order_date) AS year, MONTH(order_date) AS month, COUNT(*) AS order_count, SUM(total_amount) AS monthly_revenue FROM orders GROUP BY YEAR(order_date), MONTH(order_date) ORDER BY year, month;

# 高级业务场景
查询复购用户	SELECT user_id, COUNT(*) AS order_count FROM orders GROUP BY user_id HAVING COUNT(*) > 1;
显示热门产品（按销售数量）	SELECT p.product_id, p.product_name, SUM(oi.quantity) AS total_sold FROM products p JOIN order_items oi ON p.product_id = oi.product_id GROUP BY p.product_id, p.product_name ORDER BY total_sold DESC LIMIT 10;
查询用户平均客单价	SELECT AVG(total_amount) AS avg_order_value FROM orders;
计算用户生命周期价值	SELECT u.user_id, u.username, COUNT(o.order_id) AS order_count, SUM(o.total_amount) AS lifetime_value FROM users u LEFT JOIN orders o ON u.user_id = o.user_id GROUP BY u.user_id, u.username;

# 库存管理相关
查询库存预警产品	SELECT * FROM products WHERE stock_quantity < 20;
显示最近一周的库存变动	SELECT * FROM inventory_logs WHERE created_at >= DATE_SUB(CURDATE(), INTERVAL 7 DAY) ORDER BY created_at DESC;
计算产品周转率	SELECT p.product_id, p.product_name, p.stock_quantity, SUM(oi.quantity) AS total_sold, SUM(oi.quantity) / p.stock_quantity AS turnover_rate FROM products p LEFT JOIN order_items oi ON p.product_id = oi.product_id GROUP BY p.product_id, p.product_name, p.stock_quantity;

# 评论分析
查询每个产品的平均评分	SELECT p.product_id, p.product_name, AVG(r.rating) AS avg_rating FROM products p LEFT JOIN reviews r ON p.product_id = r.product_id AND r.status = 'approved' GROUP BY p.product_id, p.product_name;
显示高评分产品	SELECT p.product_id, p.product_name, AVG(r.rating) AS avg_rating FROM products p JOIN reviews r ON p.product_id = r.product_id WHERE r.status = 'approved' GROUP BY p.product_id, p.product_name HAVING AVG(r.rating) >= 4.5;
查询有用评论最多的产品	SELECT p.product_id, p.product_name, SUM(r.helpful_count) AS total_helpful FROM products p JOIN reviews r ON p.product_id = r.product_id GROUP BY p.product_id, p.product_name ORDER BY total_helpful DESC LIMIT 5;
